"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1868.46/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0x53d95aaded0bd7b5a93333154ef1e1ca929f82a2689d341b35d9f51763b2a0e8","17079781","1681896695","2023-04-19 09:31:35","0xd10c1e1115c6e54cff9c3c866f3bbe48f0e83503","","0x082646b22a3960da69ef7a778c16dd6fb85dd999","0","0","0","0.135954171953077536","254.024932127447","1936.48","","","0x60806040",""
"0x67440b35f14babaa756bda12055b41a685bb041faa8c8392400f12b29ef2f1bb","17079811","1681897079","2023-04-19 09:37:59","0xd10c1e1115c6e54cff9c3c866f3bbe48f0e83503","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00275462723781578","5.14691080876927","1936.48","","","Approve",""
"0x93653d5b6b93e4b9bb70f9f99df5ceae69b8491a0f1b6948f522fb7398606dce","17079907","1681898279","2023-04-19 09:57:59","0xd10c1e1115c6e54cff9c3c866f3bbe48f0e83503","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.006274148568379146","11.7229956340737","1936.48","","","Set Rule",""
"0xea1178a66385f20d3b5c2458908da6f887176681440128d3501ba384d34dd98d","17079998","1681899383","2023-04-19 10:16:23","0xb08a0b4e8dbb90bccc60f6fc46e2e9042e3c2955","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00286506531784756","5.35325994378545","1936.48","","","Approve",""
"0xf483bfb571723f2f3c57104734c1523d22ca9b87930c291eb29b69223b6cd16c","17080001","1681899419","2023-04-19 10:16:59","0x9f40fc719aac70127dddcc5f5cd59cd6a78a680e","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00290993436576179","5.43709596505127","1936.48","","","Approve",""
"0xcce19e94cd1476eb8d6378a34aa2f867c5a6181ae4d269f8c32001645de49fd6","17080005","1681899467","2023-04-19 10:17:47","0x5f43681d4d5688ffd2dbf813b33e5339d8e38f9b","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00295201583610625","5.51572350913108","1936.48","","","Approve",""
"0x6088a79c7382013e018b5be0d25a0f6048e291e1dd6a376ef0821453508a4afa","17080005","1681899467","2023-04-19 10:17:47","0xab4bcdac140c2c5c3351c554b5d188ae6abcfba3","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00295201583610625","5.51572350913108","1936.48","","","Approve",""
"0x71627dd88050e02fa640ce5045af16721baa00084589efd14b32c12843d9e8e2","17080007","1681899491","2023-04-19 10:18:11","0x9fdde13869cd8824c97f3014406fac24f6fac397","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0028941996934501","5.40769635922377","1936.48","","","Approve",""
"0x60e7ebe8edf1454bc80056ced5f273289e15d19e0ae0c550dfe26e30f9bb597e","17080034","1681899815","2023-04-19 10:23:35","0xaecb4eb631f3e2ba4172963679f111fd070ae49e","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00281439939911888","5.25859270127766","1936.48","","","Approve",""
"0x4b8a8bd0375efd3d6d05bb024b225f7667958eab77ae1392de4f599a4e9e75b0","17080086","1681900439","2023-04-19 10:33:59","0xb5b57847fc50a9825e0de4c4f4bb60101a2d34ed","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00308006237445259","5.75497334416969","1936.48","","","Approve",""
"0xf71e812ca5521638c0c715aa9048566e62aec161a7608fdf5f244fc3e96d4732","17080149","1681901207","2023-04-19 10:46:47","0xd10c1e1115c6e54cff9c3c866f3bbe48f0e83503","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.002489619370615647","4.65175420922051","1936.48","","","Set Rule",""
"0x23eea680ecdf593822f602b546d43495cdcaf36cf94785cca538f8904edd26eb","17080338","1681903523","2023-04-19 11:25:23","0xb2cd290b0f0ddfd07fe19f8f5aa1474a51caf922","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00277079411871609","5.17711797905627","1936.48","","","Approve",""
"0xfa2045e2712c0417d95a16c467ba05183412ed7e78066e052ae89b04d7617d04","17080341","1681903559","2023-04-19 11:25:59","0xd10c1e1115c6e54cff9c3c866f3bbe48f0e83503","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00182301107711712","3.40622327715025","1936.48","","","Set Rule",""
"0xd31f0921ced02ca33782bb419e2a5f55ce9f547ea8d9e0f03ebba56d43437bea","17080353","1681903703","2023-04-19 11:28:23","0x68bec4525eb557f48c30eefec249b1d85706cf0c","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00259036571821314","4.83999472985252","1936.48","","","Approve",""
"0x49bdfe7adcb0f6fc42a6ef30e3d1ef2d041d58adf8a71a2d83de13ac6c499882","17080375","1681903967","2023-04-19 11:32:47","0xca7d36e15cb7b8667eb1e60b1f329f911922f6f5","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00272873692446178","5.09853579387986","1936.48","","","Approve",""
"0x15f7691d1a70e8688a19f6185017e0a0b5821c4517de3eb0e604a6db5d7cab54","17080385","1681904087","2023-04-19 11:34:47","0x3ac1cb941ed20a5f438cd5ff961dd37bfbeaf6f2","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00244950316922038","4.57679869156151","1936.48","","","Approve",""
"0x25bc897a527e77f8e96a54f2a02c2953675816262b7cb49ead9366484c958500","17080401","1681904279","2023-04-19 11:37:59","0x80adea017677d219ee4fbb9b02af642d3a98e1cd","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0027717351528607","5.1788762637141","1936.48","","","Approve",""
"0xccaa4885e3d20bd178f4cd70e14d14547b6719c0fbdb0e93b73fe5cf9278a153","17080402","1681904303","2023-04-19 11:38:23","0x85c9053618f5e07595496df5a0d6f00014989292","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00272193128443591","5.08581972771712","1936.48","","","Approve",""
"0xc12341b2926699cac0a28ed0cf9d7811556eb35a4f72562f34bfb1b71f8482cc","17080402","1681904303","2023-04-19 11:38:23","0xf48f7396adf0b9d96d750fb1e5b5acb1e2d23f29","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0026178014637597","4.89125732297645","1936.48","","","Approve",""
"0x610f4824d2b1378c1277a91c71f3d472ae312587c940dd57cf8102c1240b4964","17080413","1681904435","2023-04-19 11:40:35","0xcf032b89d138814bcc874bc9b2a76a806f164db3","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00347673840080836","6.49614663237439","1936.48","","","Approve",""
"0x7d7471dc5c921c3d6e5423bdd997ef93cfac8d44d92b875badc73d4a428bb8a9","17080415","1681904459","2023-04-19 11:40:59","0xe59ba62d98bc2e65bc9e34349e43c761293ea991","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00356441147666206","6.65996026768399","1936.48","","","Approve",""
"0x3f0806aaa29078a82c46314bd7bd2ebf33b7b9e690fe39413717c2378459faf0","17080416","1681904471","2023-04-19 11:41:11","0xe31ffc93167c407271d675fb904c66dd86626c16","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00378470662698521","7.07157294425679","1936.48","","","Approve",""
"0x70442975ff412a9796e78ba67537d5bf061aadd80bdfc318ebea9788e656cf6f","17080417","1681904483","2023-04-19 11:41:23","0x3be78d41f5cdb354131bbcbd2383093a8ed87709","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00370876711230412","6.92968299865576","1936.48","","","Approve",""
"0x88198c9e12b97c080802c324ef2e2612f9eece4c0ff44879226749453f268e9f","17080428","1681904615","2023-04-19 11:43:35","0xaa3307cf8fcd5541fcedbe74661d4029c6fe2249","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00346966012034152","6.48292114845332","1936.48","","","Approve",""
"0x5c23753a09d3d7105120e4c1aa434a2539fcc1b4f3f2b44956161e2b3d894a80","17080433","1681904675","2023-04-19 11:44:35","0xc0573269b38f8d253857390bdeaafb973cfe07f1","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0039160695","7.31701921797","1936.48","","","Approve",""
"0xcf02f4b14d7e7c677d250b643d5fdd6073bdd403fd82c332ad19743a76005edc","17080443","1681904795","2023-04-19 11:46:35","0xf48f7396adf0b9d96d750fb1e5b5acb1e2d23f29","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0029804610759588","5.56887230198598","1936.48","","","Transfer",""
"0xdf9132e3889cdd029493f0b773789597018200c96544e23ab0c62e50970eb85a","17080471","1681905143","2023-04-19 11:52:23","0x3278b00c92abde04a585abad707e5ff2c5af83dd","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.00310233738409153","5.79659330867966","1936.48","","","Approve",""
"0xb83f4c3f6c3d2e03cce279335ec4092c045fb948064cb6a7756b00aec0fd0524","17080503","1681905527","2023-04-19 11:58:47","0xab4bcdac140c2c5c3351c554b5d188ae6abcfba3","0x082646b22a3960da69ef7a778c16dd6fb85dd999","","0","0","0","0.0026280820689308","4.91046622251444","1936.48","","","Transfer",""
